ID,Tweet,Candidate,Stance,Preproc_Tweet,Tokens
2,"@NAkufoAddo  H. E Nana please follow up on this FAKE NEWS, LIES and sue BBC for peddling false information. Hold alÃ¢â¬Â¦ https://t.co/SdwnMsxeUV",Nana,0.0,nana  h e nana please follow up on this fake news lies and sue bbc for peddling false information hold al ,"['nana', 'h', 'e', 'nana', 'pleas', 'follow', 'up', 'on', 'thi', 'fake', 'news', 'lie', 'and', 'sue', 'bbc', 'for', 'peddl', 'fals', 'inform', 'hold', 'al']"
6,"@ChipsJhay @TruthFreema @AOuattara_PRCI @NAkufoAddo No, you haven't. He's using his freedom of speech as it is. He's covered.",Nana,0.0,   nana no you haven't he's using his freedom of speech as it is he's covered,"['nana', 'no', 'you', ""haven't"", ""he'"", 'use', 'hi', 'freedom', 'of', 'speech', 'as', 'it', 'is', ""he'"", 'cover']"
7,@IssahGerard @HEgyiri @NAkufoAddo Please who is this and how is he your in law??,Nana,0.0,  nana please who is this and how is he your in law,"['nana', 'pleas', 'who', 'is', 'thi', 'and', 'how', 'is', 'he', 'your', 'in', 'law']"
17,@Kwame34580189 @bukolasaraki @NAkufoAddo Whatever.... Thought you had something there....,Nana,0.0,  nana whatever thought you had something there,"['nana', 'whatev', 'thought', 'you', 'had', 'someth', 'there']"
18,@NAkufoAddo Remember that the good people of Gh have spoken therefore Soo be it,Nana,0.0,nana remember that the good people of gh have spoken therefore soo be it,"['nana', 'rememb', 'that', 'the', 'good', 'peopl', 'of', 'gh', 'have', 'spoken', 'therefor', 'soo', 'be', 'it']"
23,@ShefLegacy @Bridget_Otoo @NAkufoAddo I got angry.,Nana,0.0,  nana i got angry,"['nana', 'i', 'got', 'angri']"
29,@NsiaAvena @AOuattara_PRCI @NAkufoAddo The emojis you use shows you dont have sense,Nana,0.0,  nana the emojis you use shows you dont have sense,"['nana', 'the', 'emoji', 'you', 'use', 'show', 'you', 'dont', 'have', 'sens']"
30,@NAkufoAddo please pay for 30 million doses ASAP....... https://t.co/cUxfJcSLa5,Nana,0.0,nana please pay for  million doses asap ,"['nana', 'pleas', 'pay', 'for', 'million', 'dose', 'asap']"
34,"@iam_vanvicker @NAkufoAddo Why are some of you guys being negative here ?, without offering a solution to any particularly noted problem ? .",Nana,0.0, nana why are some of you guys being negative here  without offering a solution to any particularly noted problem  ,"['nana', 'whi', 'are', 'some', 'of', 'you', 'guy', 'be', 'neg', 'here', 'without', 'offer', 'a', 'solut', 'to', 'ani', 'particularli', 'note', 'problem']"
37,@lordcudjoe So wat figures did the media houses used to project @NPP_official  @NAkufoAddo  winner of the election no,Nana,0.0, so wat figures did the media houses used to project   nana  winner of the election no,"['so', 'wat', 'figur', 'did', 'the', 'media', 'hous', 'use', 'to', 'project', 'nana', 'winner', 'of', 'the', 'elect', 'no']"
38,@iam_vanvicker @NAkufoAddo Abeg chairman do new one,Nana,0.0, nana abeg chairman do new one,"['nana', 'abeg', 'chairman', 'do', 'new', 'one']"
43,@iam_des1 @iam_vanvicker @NAkufoAddo Ya'll quick to insult,Nana,0.0,  nana ya'll quick to insult,"['nana', ""ya'll"", 'quick', 'to', 'insult']"
45,@bukolasaraki @NAkufoAddo It is good observation sir,Nana,0.0, nana it is good observation sir,"['nana', 'it', 'is', 'good', 'observ', 'sir']"
47,"@iam_vanvicker @NAkufoAddo If the Graphic designer no get sense, you too van vicker you no get sense?",Nana,0.0, nana if the graphic designer no get sense you too van vicker you no get sense,"['nana', 'if', 'the', 'graphic', 'design', 'no', 'get', 'sens', 'you', 'too', 'van', 'vicker', 'you', 'no', 'get', 'sens']"
